id,name,lat,long,street
1,Bronowice Małe 05,50.081063888,19.880613055,Na Błonie
2,Giełda Balicka 01,50.08155,19.87559,Balicka
3,Lindego 01,50.08085,19.86976,Balicka
4,UR Balicka 01,50.08095,19.86513,Balicka
5,Młynówka SKA 01,50.08141,19.85836,Balicka
6,Godlewskiego 01,50.08239,19.85357,Balicka
7,Zakliki 01,50.08307,19.84994,Balicka
8,Wierzyńskiego 01,50.084979444,19.8444725,Balicka
9,Cmentarz Mydlniki 01,50.087228888,19.841355,Balicka
10,Mydlniki Granica Miasta 01,50.089922777,19.837743333,Balicka
11,Rząska Podkamycze,50.091440277,19.829488888,Rząska ul. Balicka
12,Szczyglice Autostrada,50.092971111,19.815672777,Szczyglice ul. Długa
13,Szczyglice Dom Kultury,50.0940175,19.808369166,Szczyglice ul. Długa
14,Szczyglice Skrzyżowanie,50.092851388,19.803840277,Szczyglice ul. Kmity
15,Szczyglice Błonie,50.085296666,19.808440277,Szczyglice ul. Krakowska
16,Balice Autostrada,50.0849125,19.804189722,Balice ul. Krakowska
17,Balice Szkoła,50.0848775,19.793932222,Balice ul. Krakowska
18,Balice Remiza,50.086789722,19.790970277,Balice ul. Radziwiłłów
19,Balice Leśna,50.089945555,19.786671944,Balice ul. Radziwiłłów
20,Balice Grzybów,50.0909075,19.781928055,Balice ul. Radziwiłłów
21,Burów Balica,50.093833888,19.774023333,Burów
22,Burów Centrum,50.095253611,19.769341388,Burów
23,Kleszczów Pod Lipką,50.102899166,19.752964444,Kleszczów
24,Kleszczów Centrum,50.104901666,19.748825833,Kleszczów
25,Kochanów Sowiarka,50.112653055,19.732371388,Kochanów ul. Lubomirskich
26,Rudawa Stadion,50.114473888,19.711412777,Rudawa ul. Wyspiańskiego
27,Rudawa PKP,50.119762777,19.713541388,Rudawa ul. Wyspiańskiego
28,Rudawa Rynek,50.122580833,19.7116625,Rudawa
29,Mydlniki Granica Miasta,50.090233888,19.837001944,Rząska ul. Balicka
30,Cmentarz Mydlniki 02,50.087306388,19.841109166,Balicka
31,Wierzyńskiego 02,50.084207222,19.845354166,Balicka
32,Zakliki 02,50.08315,19.84918,Balicka
33,Godlewskiego 02,50.08232,19.85341,Balicka
34,Młynówka SKA 02,50.08119,19.85907,Balicka
35,UR Balicka 02,50.08084,19.86548,Balicka
36,Lindego 02,50.08078,19.87205,Balicka
37,Giełda Balicka 02,50.08154,19.87585,Balicka
38,Bronowice Małe 02,50.08109,19.88047,Na Błonie
39,Szczyglice Most,50.0878625,19.818302222,Szczyglice ul. Krakowska
40,Balice Instytut Zootechniki,50.083860277,19.788948333,Balice ul. Krakowska
41,Balice Krakowska,50.083409166,19.782738333,Balice ul. Krakowska
42,Balice Winna Góra,50.082550277,19.775953888,Aleksandrowice
43,Aleksandrowice Osiedle,50.081698888,19.769260277,Aleksandrowice
44,Aleksandrowice Centrum,50.081254722,19.763993333,Aleksandrowice
45,Morawica Szkoła,50.080354166,19.756046666,Morawica
46,Brzoskwinia Koziary,50.090642222,19.734903055,Brzoskwinia ul. Krakowska
47,Brzoskwinia Góra,50.094015,19.728848333,Brzoskwinia ul. Krakowska
48,Brzoskwinia Remiza,50.095685277,19.718598888,Brzoskwinia ul. Tenczyńskich
49,Brzoskwinia Kamyk,50.093273333,19.710059722,Brzoskwinia ul. Tenczyńskich
